,0
const,157.01106075569402
AIRLN_19790,-28.468026187945114
AIRLN_19805,-27.647897364360638
AIRLN_19977,-23.872394540381396
AIRLN_20304,-25.93667388046994
AIRLN_20366,-44.09805010281225
AIRLN_20398,-44.399427437461135
AIRLN_20409,-35.22676756090203
AIRLN_20416,-27.137500054049426
AIRLN_20436,-22.443690363730315
AIRLN_21171,-15.429713877217665
DST_DFW,-4.035841405982761
DST_JFK,69.87230986087332
DST_LAX,133.09277587908593
DST_ORD,6.258201676835499
ORG_DFW,-22.171226957954662
ORG_JFK,85.44785563063482
ORG_LAX,101.66288038730126
ORG_ORD,-3.1698291474583042
